
PKUP   1        0            0            0            0            0            0      0      0            0            0

SILI   1      182            0     0.998776            0         1800       300000      0      0            0            0
SILI   2      182            0     0.999346            0         1800       300000      0      0            0            0
SILI   3      182            0     0.999388            0         1800       300000      0      0            0            0
SILI   4      182            0     0.999751            0         1800       300000      0      0            0            0

C6D6   1   183.95    0.0521532  0.000383182 -4.01636e-10         0.03           20      0      0            0            0
C6D6   2   183.95    0.0224163  0.000403177  3.39229e-10         0.03           20      0      0            0            0
C6D6   3   183.95    0.0460589  0.000376173 -5.95843e-10         0.03           20      0      0            0            0
C6D6   4   183.95    0.0792231  0.000344658  2.42248e-09         0.03           20      0      0            0            0

FIMG   1      187            0     0.985199            0          0.1       300000      0      0            0            0
FIMG   2      187            0     0.983815            0          0.1       300000      0      0            0            0

LIGL   1      200            0      0.99954            0          0.1       300000      0      0            0            0

