
PKUP   1        0            0            0            0            0            0      0      0            0            0

SILI   1      182            0     0.998747            0         1800       300000      0      0            0            0
SILI   2      182            0     0.998548            0         1800       300000      0      0            0            0
SILI   3      182            0     0.998979            0         1800       300000      0      0            0            0
SILI   4      182            0     0.999042            0         1800       300000      0      0            0            0

C6D6   1   183.95    0.0521532  0.000382119 -3.99411e-10         0.03           20      0      0            0            0
C6D6   2   183.95    0.0224163  0.000403317  3.39466e-10         0.03           20      0      0            0            0
C6D6   3   183.95    0.0460589  0.000375753 -5.94512e-10         0.03           20      0      0            0            0
C6D6   4   183.95    0.0792231  0.000344356  2.41825e-09         0.03           20      0      0            0            0

FIMG   1      187            0     0.974551            0          0.1       300000      0      0            0            0
FIMG   2      187            0     0.973471            0          0.1       300000      0      0            0            0

LIGL   1      200            0     0.997825            0          0.1       300000      0      0            0            0

